	Rsem_log_q_200_f
TCGA-AR-A256-01A-11R-A169-07	0.1623762
TCGA-A2-A1FX-01A-11R-A13Q-07	0.3359995
TCGA-A1-A0SJ-01A-11R-A084-07	0.8082874
TCGA-A7-A26E-01A-11R-A169-07	0.2911449
TCGA-BH-A0H7-11A-13R-A089-07	0.620206
TCGA-AC-A3EH-01A-22R-A22K-07	0.7381611
TCGA-E9-A243-01A-21R-A169-07	0.0132054
TCGA-E2-A15P-01A-11R-A115-07	0.5296349
TCGA-BH-A0DG-11A-43R-A12P-07	0.3726856
TCGA-BH-A0B8-11A-41R-A089-07	0.0463524
TCGA-D8-A145-01A-11R-A115-07	0.3106338
TCGA-D8-A13Z-01A-11R-A115-07	0.3359332
TCGA-AO-A1KO-01A-31R-A13Q-07	0.6826811
TCGA-C8-A1HF-01A-11R-A137-07	0.2378118
TCGA-A2-A0CM-01A-31R-A034-07	0.0108737
TCGA-A7-A0CJ-01A-21R-A00Z-07	0.1256551
TCGA-A8-A0A2-01A-11R-A034-07	0.213231
TCGA-E2-A570-01A-11R-A29R-07	0.3845124
TCGA-E9-A1QZ-01A-21R-A169-07	0.1880852
TCGA-BH-A1FE-11B-14R-A13Q-07	0.3426476
TCGA-OL-A5RX-01A-11R-A28M-07	0.3605613
TCGA-BH-A0BA-01A-11R-A056-07	0.557035
TCGA-A8-A09N-01A-11R-A00Z-07	0.3430786
TCGA-E9-A1RH-11A-34R-A169-07	0.0831608
TCGA-D8-A27W-01A-11R-A16F-07	0.4215273
TCGA-BH-A0C3-11A-23R-A12P-07	0.5484415
TCGA-HN-A2NL-01A-11R-A18M-07	0.1887249
TCGA-AR-A1AX-01A-11R-A12P-07	0.1860736
TCGA-A8-A08S-01A-11R-A034-07	0.135336
TCGA-E2-A1LH-01A-11R-A14D-07	0.0756084
TCGA-A8-A07I-01A-11R-A00Z-07	0.2344023
TCGA-AO-A03R-01A-21R-A034-07	0.2058625
TCGA-E9-A1R3-01A-31R-A14M-07	0.2702335
TCGA-C8-A26V-01A-11R-A16F-07	0.1020555
TCGA-BH-A0HB-01A-11R-A056-07	0.255855
TCGA-A8-A08J-01A-11R-A00Z-07	0.8378481
TCGA-LL-A7T0-01A-31R-A352-07	0.2721063
TCGA-BH-A0HI-01A-11R-A084-07	0.3438609
TCGA-BH-A0BO-01A-23R-A12D-07	0.1960031
TCGA-E2-A15L-01A-11R-A12D-07	0.7169824
TCGA-E2-A1L8-01A-11R-A13Q-07	0.2672613
TCGA-AC-A2FM-11B-32R-A19W-07	0.6175676
TCGA-AO-A126-01A-11R-A10J-07	0.2030955
TCGA-EW-A6S9-01A-22R-A33J-07	0.8186769
TCGA-BH-A1FH-01A-12R-A13Q-07	0.2239475
TCGA-C8-A130-01A-31R-A115-07	0.2081705
TCGA-A2-A0ES-01A-11R-A115-07	0.3616355
TCGA-EW-A1PD-01A-11R-A144-07	0.7942028
TCGA-GI-A2C9-11A-22R-A21T-07	0.083635
TCGA-E9-A1NF-01A-11R-A14D-07	0.1377462
TCGA-E2-A15K-06A-11R-A12P-07	0.7112125
TCGA-D8-A146-01A-31R-A115-07	0.5056666
TCGA-E2-A155-01A-11R-A12D-07	0.7417139
TCGA-AR-A2LH-01A-31R-A18M-07	0.0785233
TCGA-D8-A1X7-01A-11R-A14M-07	0.7057216
TCGA-BH-A204-11A-53R-A157-07	0.0775004
TCGA-B6-A400-01A-11R-A239-07	0.4329188
TCGA-A8-A0A6-01A-12R-A056-07	0.1200955
TCGA-A7-A4SE-01A-11R-A266-07	0.2265668
TCGA-AR-A5QM-01A-11R-A27Q-07	0.2536645
TCGA-BH-A0E6-01A-11R-A034-07	0.7433114
TCGA-AO-A125-01A-11R-A10J-07	0.5531077
TCGA-E9-A5FK-01A-11R-A27Q-07	0.0924214
TCGA-AR-A1AR-01A-31R-A137-07	0.0127747
TCGA-AO-A1KR-01A-12R-A144-07	0.2209651
TCGA-BH-A0B3-01A-11R-A056-07	0.067088
TCGA-BH-A0BV-01A-11R-A00Z-07	0.2396111
TCGA-D8-A27I-01A-11R-A16F-07	0.2605078
TCGA-E2-A14N-01A-31R-A137-07	0.0662578
TCGA-BH-A203-11A-42R-A169-07	0.3453283
TCGA-EW-A1J3-01A-11R-A13Q-07	0.4865757
TCGA-GI-A2C8-11A-22R-A16F-07	0.0776643
TCGA-BH-A0HN-01A-11R-A10U-07	0.4325857
TCGA-B6-A0RI-01A-11R-A056-07	0.2643326
TCGA-A2-A0EX-01A-21R-A034-07	0.6784632
TCGA-A8-A079-01A-21R-A00Z-07	0.6698066
TCGA-BH-A0DP-11A-12R-A089-07	0.7735704
TCGA-A2-A04Y-01A-21R-A034-07	0.251204
TCGA-AO-A0J8-01A-21R-A034-07	0.2311113
TCGA-EW-A1J6-01A-11R-A13Q-07	0.1811271
TCGA-D8-A27R-01A-11R-A16F-07	0.7573516
TCGA-A2-A0EU-01A-22R-A056-07	0.1846532
TCGA-BH-A0BG-01A-11R-A115-07	0.0561355
TCGA-A2-A259-01A-11R-A16F-07	0.0747724
TCGA-B6-A0I2-01A-11R-A034-07	0.0187525
TCGA-B6-A0IC-01A-11R-A034-07	0.4780619
TCGA-BH-A1FB-11A-33R-A13Q-07	0.3617427
TCGA-GM-A3XG-01A-31R-A24H-07	0.8841825
TCGA-B6-A2IU-01A-32R-A18M-07	0.7525998
TCGA-AO-A12H-01A-11R-A115-07	0.3939797
TCGA-A2-A04N-01A-11R-A115-07	0.573838
TCGA-B6-A1KN-01A-11R-A13Q-07	0.7698554
TCGA-BH-A1EO-11A-31R-A137-07	0.0192921
TCGA-E2-A1IO-01A-11R-A144-07	0.4691595
TCGA-A2-A25E-01A-11R-A169-07	0.4857043
TCGA-BH-A0DP-01A-21R-A056-07	0.2670828
TCGA-A8-A083-01A-21R-A00Z-07	0.1737614
TCGA-AR-A24Q-01A-12R-A169-07	0.6707558
TCGA-A2-A04V-01A-21R-A034-07	0.1822049
TCGA-BH-A18T-01A-11R-A12D-07	0.1496811
TCGA-A8-A086-01A-11R-A00Z-07	0.4982092
TCGA-E9-A1RI-11A-41R-A169-07	0.0609624
TCGA-BH-A0C1-01B-11R-A12D-07	0.3232636
TCGA-EW-A1OZ-01A-11R-A144-07	0.75177
TCGA-GM-A3XN-01A-12R-A22U-07	0.1796799
TCGA-EW-A2FW-01A-11R-A17B-07	0.8457506
TCGA-BH-A1FD-01A-11R-A13Q-07	0.0318436
TCGA-AO-A0J3-01A-11R-A034-07	0.398756
TCGA-AR-A1AQ-01A-11R-A12P-07	0.0607203
TCGA-AN-A0XU-01A-11R-A109-07	0.1643412
TCGA-BH-A0W4-01A-11R-A109-07	0.6889608
TCGA-AN-A03Y-01A-21R-A00Z-07	0.07454
TCGA-A8-A090-01A-11R-A00Z-07	0.2636391
TCGA-A2-A1G0-01A-11R-A13Q-07	0.5090849
TCGA-E2-A15S-01A-11R-A115-07	0.8250585
TCGA-A7-A0D9-01A-31R-A056-07	0.8834705
TCGA-E2-A15H-01A-11R-A12D-07	0.7431005
TCGA-BH-A0DT-11A-12R-A12D-07	0.670704
TCGA-A2-A0EV-01A-11R-A034-07	0.1771605
TCGA-AR-A5QN-01A-12R-A28M-07	0.2952609
TCGA-E2-A14R-01A-11R-A115-07	0.2118936
TCGA-A8-A07L-01A-11R-A00Z-07	0.661972
TCGA-GM-A5PX-01A-12R-A28M-07	0.3110298
TCGA-A7-A13G-11A-51R-A13Q-07	0.0287616
TCGA-B6-A0IH-01A-11R-A115-07	0.1879806
TCGA-AO-A1KP-01A-11R-A13Q-07	0.4938778
TCGA-E2-A1LE-01A-12R-A19W-07	0.7455389
TCGA-A8-A07U-01A-11R-A034-07	0.0245061
TCGA-E9-A5FL-01A-11R-A27Q-07	0.045647
TCGA-A7-A4SA-01A-11R-A266-07	0.115045
TCGA-A2-A0SV-01A-11R-A084-07	0.0817198
TCGA-B6-A0I1-01A-11R-A21T-07	0.7517769
TCGA-BH-A18K-01A-11R-A12D-07	0.3009657
TCGA-AO-A0JL-01A-11R-A056-07	0.650526
TCGA-A2-A3XS-01A-11R-A22U-07	0.7675269
TCGA-AC-A3HN-01A-11R-A213-07	0.1248749
TCGA-D8-A1XA-01A-11R-A14D-07	0.24135
TCGA-A2-A04T-01A-21R-A034-07	0.4184974
TCGA-BH-A208-01A-11R-A157-07	0.1467649
TCGA-AC-A62V-01A-11R-A31O-07	0.8225315
TCGA-BH-A209-11A-42R-A157-07	0.0754257
TCGA-AN-A0FF-01A-11R-A034-07	0.2005318
TCGA-AR-A2LQ-01A-22R-A18M-07	0.5524674
TCGA-E2-A14T-01A-11R-A115-07	0.6375994
TCGA-B6-A0RU-01A-11R-A084-07	0.570084
TCGA-E9-A1R5-01A-11R-A14M-07	0.3698772
TCGA-A8-A09A-01A-11R-A00Z-07	0.5987208
TCGA-BH-A1EV-11A-24R-A137-07	0.2250699
TCGA-AN-A0XV-01A-11R-A109-07	0.2262216
TCGA-AO-A0JM-01A-21R-A056-07	0.2895689
TCGA-E9-A1NA-11A-33R-A144-07	0.3623565
TCGA-A2-A3KC-01A-11R-A213-07	0.6713019
TCGA-BH-A18H-01A-11R-A12D-07	0.0729194
TCGA-A8-A096-01A-11R-A00Z-07	0.0672858
TCGA-LL-A442-01A-11R-A24H-07	0.6907065
TCGA-AC-A3OD-01A-11R-A21T-07	0.226977
TCGA-BH-A6R9-01A-21R-A32P-07	0.0149867
TCGA-AR-A0TQ-01A-11R-A084-07	0.7758883
TCGA-A8-A08C-01A-11R-A00Z-07	0.3382978
TCGA-OL-A66K-01A-11R-A29R-07	0.7776501
TCGA-B6-A1KI-01A-11R-A14M-07	0.6727997
TCGA-E9-A1N8-01A-11R-A144-07	0.2488006
TCGA-A8-A06O-01A-11R-A00Z-07	0.156733
TCGA-EW-A1IW-01A-11R-A13Q-07	0.6843348
TCGA-A2-A0T0-01A-22R-A084-07	0.2147511
TCGA-AN-A04A-01A-21R-A034-07	0.7128226
TCGA-E9-A1RB-01A-11R-A157-07	0.0401723
TCGA-BH-A0BW-01A-11R-A115-07	0.0231637
TCGA-E9-A1NA-01A-11R-A144-07	0.1596255
TCGA-A2-A0YE-01A-11R-A109-07	0.5745016
TCGA-C8-A8HQ-01A-11R-A36F-07	0.4670797
TCGA-BH-A28O-01A-11R-A22K-07	0.4960905
TCGA-A1-A0SN-01A-11R-A144-07	0.5601354
TCGA-AR-A0TY-01A-12R-A115-07	0.9072004
TCGA-C8-A12U-01A-11R-A115-07	0.3027142
TCGA-D8-A1XF-01A-11R-A14D-07	0.6590952
TCGA-BH-A0AY-01A-21R-A00Z-07	0.1342128
TCGA-B6-A0IA-01A-11R-A034-07	0.2629361
TCGA-A7-A13E-11A-61R-A12P-07	0.108438
TCGA-E2-A1LS-01A-12R-A157-07	0.5173182
TCGA-E2-A15E-06A-11R-A12D-07	0.7566377
TCGA-E2-A154-01A-11R-A115-07	0.386175
TCGA-AO-A0J2-01A-11R-A034-07	0.1430663
TCGA-E9-A1RC-11A-33R-A157-07	0.0269967
TCGA-A2-A4S0-01A-21R-A266-07	0.6252304
TCGA-C8-A26Z-01A-11R-A16F-07	0.7854832
TCGA-AO-A1KT-01A-11R-A13Q-07	0.4085805
TCGA-BH-A0H9-01A-11R-A056-07	0.8156076
TCGA-A7-A13F-11A-42R-A12P-07	0.3267963
TCGA-C8-A1HK-01A-21R-A13Q-07	0.8738095
TCGA-GM-A2DF-01A-11R-A180-07	0.197548
TCGA-A8-A0AB-01A-11R-A034-07	0.8350087
TCGA-BH-A18I-01A-11R-A12D-07	0.1404328
TCGA-LL-A5YN-01A-11R-A28M-07	0.137823
TCGA-A7-A4SC-01A-12R-A266-07	0.3086346
TCGA-A2-A0CU-01A-12R-A034-07	0.7147131
TCGA-A8-A0A1-01A-11R-A00Z-07	0.0735916
TCGA-BH-A0HQ-01A-11R-A034-07	0.6682652
TCGA-BH-A0HK-01A-11R-A056-07	0.1632581
TCGA-GM-A3NY-01A-11R-A21T-07	0.2798978
TCGA-BH-A1F2-11A-32R-A13Q-07	0.1930115
TCGA-AR-A250-01A-31R-A169-07	0.5265304
TCGA-BH-A0C0-11A-21R-A089-07	0.2160522
TCGA-D8-A1JN-01A-11R-A13Q-07	0.4452617
TCGA-A8-A094-01A-11R-A00Z-07	0.2317997
TCGA-B6-A0WV-01A-11R-A109-07	0.6654946
TCGA-A2-A04R-01A-41R-A109-07	0.7575792
TCGA-BH-A1F0-11B-23R-A137-07	0.1950935
TCGA-E9-A22G-01A-11R-A157-07	0.1223249
TCGA-GM-A2DL-01A-11R-A18M-07	0.2767406
TCGA-B6-A0X1-01A-11R-A109-07	0.0274274
TCGA-A8-A06U-01A-11R-A00Z-07	0.3184233
TCGA-A2-A0T1-01A-21R-A084-07	0.2732563
TCGA-A2-A3KD-01A-12R-A213-07	0.6407528
TCGA-AR-A2LN-01A-21R-A18M-07	0.1165128
TCGA-D8-A1XB-01A-11R-A14D-07	0.3850202
TCGA-EW-A1P1-01A-31R-A14D-07	0.2830152
TCGA-E9-A3QA-01A-61R-A22K-07	0.0285354
TCGA-BH-A0B4-01A-11R-A00Z-07	0.5441835
TCGA-AR-A1AP-01A-11R-A12P-07	0.3357543
TCGA-A2-A1G6-01A-11R-A13Q-07	0.5079392
TCGA-D8-A1XZ-01A-11R-A14M-07	0.1488169
TCGA-BH-A0AW-01A-11R-A056-07	0.6052255
TCGA-AQ-A1H2-01A-11R-A13Q-07	0.3274965
TCGA-E2-A1B0-01A-11R-A12P-07	0.7094668
TCGA-BH-A0HX-01A-21R-A056-07	0.4075916
TCGA-EW-A1PA-01A-11R-A144-07	0.2371746
TCGA-OL-A5D8-01A-11R-A27Q-07	0.3795832
TCGA-C8-A278-01A-11R-A169-07	0.2094815
TCGA-A7-A26G-01A-21R-A169-07	0.2513374
TCGA-AR-A24Z-01A-11R-A169-07	0.092317
TCGA-A2-A0EM-01A-11R-A034-07	0.5531117
TCGA-GM-A2DM-01A-11R-A180-07	0.1864544
TCGA-B6-A0WX-01A-11R-A109-07	0.2179779
TCGA-D8-A1Y0-01A-11R-A14M-07	0.0703611
TCGA-D8-A1JU-01A-11R-A13Q-07	0.1056046
TCGA-D8-A1XW-01A-11R-A14M-07	0.1579255
TCGA-BH-A0BT-11A-21R-A12P-07	0.5197121
TCGA-XX-A899-01A-11R-A36F-07	0.1603163
TCGA-E9-A1N5-11A-41R-A14D-07	0.5392864
TCGA-BH-A8G0-01A-11R-A352-07	0.315844
TCGA-C8-A12M-01A-11R-A115-07	0.5630961
TCGA-E2-A15R-01A-11R-A115-07	0.7722636
TCGA-B6-A0IK-01A-12R-A056-07	0.7740031
TCGA-A7-A5ZW-01A-12R-A29R-07	0.5220919
TCGA-LL-A441-01A-11R-A24H-07	0.1516405
TCGA-BH-A0GZ-01A-11R-A056-07	0.316044
TCGA-LL-A740-01A-21R-A32P-07	0.7653949
TCGA-AC-A3TM-01A-11R-A22K-07	0.7024857
TCGA-AR-A1AN-01A-11R-A12P-07	0.2039841
TCGA-BH-A209-01A-11R-A157-07	0.0256358
TCGA-B6-A0WY-01A-11R-A109-07	0.6098418
TCGA-E2-A2P5-01A-11R-A19W-07	0.3971216
TCGA-BH-A0DI-01A-21R-A12P-07	0.3250834
TCGA-E9-A1NG-01A-21R-A14M-07	0.2493059
TCGA-EW-A1P4-01A-21R-A144-07	0.0995491
TCGA-BH-A0GY-01A-11R-A056-07	0.344774
TCGA-BH-A0W5-01A-11R-A109-07	0.2989035
TCGA-A2-A0ST-01A-12R-A084-07	0.0400927
TCGA-E9-A1N4-11A-33R-A14M-07	0.3752928
TCGA-E9-A1NE-01A-21R-A14M-07	0.0652244
TCGA-BH-A0HO-01A-11R-A034-07	0.4308569
TCGA-AC-A23H-11A-12R-A157-07	0.2848761
TCGA-B6-A0IP-01A-11R-A034-07	0.3343971
TCGA-E9-A3Q9-01A-11R-A21T-07	0.2450502
TCGA-E2-A1LG-01A-21R-A14M-07	0.1727549
TCGA-AO-A03P-01A-11R-A00Z-07	0.3179264
TCGA-A8-A09Q-01A-11R-A00Z-07	0.2403575
TCGA-D8-A1X5-01A-11R-A14D-07	0.3530685
TCGA-A8-A076-01A-21R-A00Z-07	0.5525168
TCGA-E9-A2JT-01A-22R-A18M-07	0.0326356
TCGA-A8-A09C-01A-11R-A00Z-07	0.2819673
TCGA-E2-A159-01A-11R-A115-07	0.0687774
TCGA-E2-A1IK-01A-11R-A144-07	0.1777726
TCGA-E2-A56Z-01A-12R-A29R-07	0.3319991
TCGA-GM-A5PV-01A-11R-A28M-07	0.7362416
TCGA-AQ-A04J-01A-02R-A034-07	0.2226444
TCGA-B6-A402-01A-11R-A239-07	0.3704756
TCGA-LL-A5YL-01A-12R-A29R-07	0.6627672
TCGA-AO-A0JG-01A-31R-A084-07	0.2388194
TCGA-GM-A2DO-01A-11R-A18M-07	0.0896074
TCGA-B6-A0IB-01A-11R-A034-07	0.6998069
TCGA-BH-A0BM-01A-11R-A056-07	0.4478274
TCGA-AR-A1AJ-01A-21R-A12P-07	0.0187158
TCGA-A8-A092-01A-11R-A00Z-07	0.4172537
TCGA-BH-A1FM-01A-11R-A13Q-07	0.3679471
TCGA-EW-A423-01A-11R-A24H-07	0.4824892
TCGA-C8-A1HI-01A-11R-A137-07	0.6169781
TCGA-E2-A1LA-01A-11R-A144-07	0.1086325
TCGA-D8-A13Y-01A-11R-A115-07	0.7073184
TCGA-A2-A3Y0-01A-11R-A239-07	0.0198002
TCGA-A8-A09K-01A-11R-A00Z-07	0.4510132
TCGA-EW-A1OX-01A-11R-A144-07	0.8926174
TCGA-EW-A1IY-01A-11R-A13Q-07	0.1312529
TCGA-AQ-A0Y5-01A-11R-A14M-07	0.8079355
TCGA-BH-A0E1-01A-11R-A056-07	0.6982629
TCGA-D8-A1XR-01A-11R-A14M-07	0.523369
TCGA-A8-A08H-01A-21R-A00Z-07	0.0754822
TCGA-A2-A0ER-01A-21R-A034-07	0.5724306
TCGA-A7-A0DA-01A-31R-A115-07	0.2757054
TCGA-AC-A6IX-06A-11R-A32P-07	0.0949447
TCGA-EW-A1J1-01A-11R-A13Q-07	0.537857
TCGA-C8-A1HL-01A-11R-A137-07	0.8211163
TCGA-A8-A06P-01A-11R-A00Z-07	0.6981932
TCGA-EW-A1P6-01A-11R-A144-07	0.4579698
TCGA-BH-A1EU-11A-23R-A137-07	0.2824901
TCGA-C8-A12P-01A-11R-A115-07	0.3867712
TCGA-AO-A1KS-01A-11R-A13Q-07	0.2278768
TCGA-C8-A12N-01A-11R-A115-07	0.1580267
TCGA-LL-A73Z-01A-11R-A32P-07	0.1677114
TCGA-A1-A0SQ-01A-21R-A144-07	0.7463394
TCGA-AN-A0FY-01A-11R-A034-07	0.5593704
TCGA-D8-A142-01A-11R-A115-07	0.5945397
TCGA-AR-A2LR-01A-12R-A18M-07	0.2259079
TCGA-BH-A18J-11A-31R-A12D-07	0.2684464
TCGA-BH-A0BC-01A-22R-A084-07	0.2336503
TCGA-AC-A7VB-01A-11R-A352-07	0.7455647
TCGA-C8-A3M8-01A-11R-A213-07	0.734471
TCGA-A2-A0EQ-01A-11R-A034-07	0.1592147
TCGA-AN-A04D-01A-21R-A034-07	0.8092499
TCGA-BH-A208-11A-51R-A157-07	0.602962
TCGA-AO-A03O-01A-11R-A00Z-07	0.081511
TCGA-A8-A06N-01A-11R-A00Z-07	0.3129267
TCGA-A1-A0SB-01A-11R-A144-07	0.8940877
TCGA-BH-A1F6-11B-94R-A13Q-07	0.093563
TCGA-A2-A4S3-01A-21R-A266-07	0.3719822
TCGA-BH-A0B2-01A-11R-A10J-07	0.1163388
TCGA-E9-A24A-01A-11R-A169-07	0.1580788
TCGA-E2-A1LS-11A-32R-A157-07	0.0147622
TCGA-E2-A1B5-01A-21R-A12P-07	0.0369454
TCGA-E2-A1BC-01A-11R-A12P-07	0.3509601
TCGA-AR-A24W-01A-11R-A169-07	0.3527174
TCGA-AR-A1AK-01A-21R-A12P-07	0.0776344
TCGA-E9-A1NG-11A-52R-A14M-07	0.0724788
TCGA-E2-A15A-01A-11R-A12D-07	0.475493
TCGA-AR-A24H-01A-11R-A169-07	0.2603838
TCGA-A7-A0CH-11A-32R-A089-07	0.1779228
TCGA-D8-A27V-01A-12R-A17B-07	0.5898578
TCGA-E2-A14P-01A-31R-A12D-07	0.7896059
TCGA-BH-A0HA-11A-31R-A12P-07	0.7631812
TCGA-A8-A07J-01A-11R-A00Z-07	0.2069398
TCGA-JL-A3YW-01A-12R-A239-07	0.02548
TCGA-AR-A1AM-01A-41R-A22K-07	0.3938869
TCGA-BH-A5J0-01A-11R-A27Q-07	0.1593769
TCGA-A1-A0SK-01A-12R-A084-07	0.6820421
TCGA-BH-A0DG-01A-21R-A12P-07	0.1853288
TCGA-BH-A1EN-01A-11R-A13Q-07	0.9067636
TCGA-BH-A201-01A-11R-A14M-07	0.3561742
TCGA-D8-A1JF-01A-11R-A13Q-07	0.6119698
TCGA-B6-A0RP-01A-21R-A084-07	0.1388541
TCGA-A2-A0CV-01A-31R-A115-07	0.2005742
TCGA-BH-A18N-01A-11R-A12D-07	0.4136571
TCGA-A8-A07Z-01A-11R-A00Z-07	0.4976906
TCGA-E2-A15G-01A-11R-A12D-07	0.606465
TCGA-BH-A18G-01A-11R-A12D-07	0.1315836
TCGA-D8-A73X-01A-11R-A32P-07	0.4014808
TCGA-A1-A0SE-01A-11R-A084-07	0.6388002
TCGA-OL-A5D7-01A-11R-A27Q-07	0.0376727
TCGA-A8-A07G-01A-11R-A034-07	0.2231733
TCGA-BH-A1FE-06A-11R-A213-07	0.0316758
TCGA-E9-A1N3-01A-12R-A157-07	0.4896627
TCGA-A8-A09W-01A-11R-A00Z-07	0.4473625
TCGA-D8-A1JM-01A-11R-A13Q-07	0.112364
TCGA-D8-A1X6-01A-11R-A14M-07	0.1616306
TCGA-A7-A13G-01A-11R-A13Q-07	0.6719077
TCGA-BH-A0BP-01A-11R-A115-07	0.2593584
TCGA-A2-A25F-01A-11R-A169-07	0.021265
TCGA-E2-A1LB-01A-11R-A144-07	0.8231148
TCGA-AO-A0JB-01A-11R-A32Y-07	0.1886693
TCGA-B6-A0RE-01A-11R-A056-07	0.68574
TCGA-AR-A1AL-01A-21R-A12P-07	0.5087295
TCGA-D8-A73W-01A-22R-A352-07	0.0580276
TCGA-AN-A0FT-01A-11R-A034-07	0.8086271
TCGA-A2-A0YK-01A-22R-A109-07	0.123712
TCGA-D8-A1JA-01A-11R-A13Q-07	0.5664011
TCGA-AN-A03X-01A-21R-A00Z-07	0.4407811
TCGA-A7-A6VX-01A-12R-A33J-07	0.3229579
TCGA-D8-A1XD-01A-11R-A14D-07	0.8741778
TCGA-C8-A26Y-01A-11R-A16F-07	0.3580353
TCGA-BH-A0W7-01A-11R-A115-07	0.108944
TCGA-BH-A0AV-01A-31R-A115-07	0.1868791
TCGA-E2-A1BC-11A-32R-A12P-07	0.0589002
TCGA-BH-A1ET-01A-11R-A137-07	0.3349333
TCGA-BH-A18R-01A-11R-A12D-07	0.778166
TCGA-C8-A12V-01A-11R-A115-07	0.0122682
TCGA-EW-A1J5-01A-11R-A13Q-07	0.0861334
TCGA-A2-A0EP-01A-52R-A22U-07	0.025729
TCGA-A2-A0CX-01A-21R-A00Z-07	0.6852477
TCGA-EW-A1OV-01A-11R-A144-07	0.0770499
TCGA-JL-A3YX-01A-11R-A22U-07	0.6910687
TCGA-AR-A5QP-01A-11R-A28M-07	0.5074297
TCGA-E9-A3X8-01A-31R-A22U-07	0.320243
TCGA-AR-A0TR-01A-11R-A084-07	0.4387504
TCGA-D8-A1JS-01A-11R-A13Q-07	0.4957578
TCGA-E2-A1LB-11A-22R-A144-07	0.7032675
TCGA-AR-A0U3-01A-11R-A109-07	0.3421975
TCGA-A2-A0YF-01A-21R-A109-07	0.554368
TCGA-BH-A42U-01A-12R-A24H-07	0.1660494
TCGA-MS-A51U-01A-31R-A266-07	0.3169512
TCGA-BH-A0B6-01A-11R-A19W-07	0.0698988
TCGA-D8-A1JL-01A-11R-A13Q-07	0.0567075
TCGA-C8-A3M7-01A-12R-A21T-07	0.4555444
TCGA-E2-A15D-01A-11R-A115-07	0.3548482
TCGA-E2-A153-11A-31R-A12D-07	0.6886508
TCGA-GI-A2C9-01A-11R-A21T-07	0.44374
TCGA-BH-A1EX-01A-11R-A13Q-07	0.2037172
TCGA-A2-A0T7-01A-21R-A084-07	0.3832433
TCGA-B6-A0X7-01A-11R-A10J-07	0.2933609
TCGA-AO-A0JJ-01A-11R-A056-07	0.1517166
TCGA-C8-A1HE-01A-11R-A13Q-07	0.4720814
TCGA-BH-A0E2-01A-11R-A056-07	0.144548
TCGA-A8-A0AD-01A-11R-A056-07	0.4159307
TCGA-BH-A0E1-11A-13R-A089-07	0.7604954
TCGA-E2-A156-01A-11R-A12D-07	0.4364185
TCGA-AC-A5XS-01A-11R-A29R-07	0.1236091
TCGA-AN-A04C-01A-21R-A034-07	0.86783
TCGA-AN-A0XS-01A-22R-A109-07	0.3143007
TCGA-LL-A6FP-01A-11R-A31O-07	0.8739016
TCGA-A7-A13E-01A-11R-A12P-07	0.4484686
TCGA-OK-A5Q2-01A-11R-A27Q-07	0.5204773
TCGA-E9-A1RB-11A-33R-A157-07	0.1047473
TCGA-OL-A5DA-01A-11R-A27Q-07	0.3915145
TCGA-EW-A1IX-01A-12R-A144-07	0.2553172
TCGA-E9-A229-01A-31R-A157-07	0.0696152
TCGA-BH-A0DE-01A-11R-A115-07	0.1738644
TCGA-E2-A105-01A-11R-A10J-07	0.531513
TCGA-A8-A0A7-01A-11R-A00Z-07	0.2602737
TCGA-AR-A1AU-01A-11R-A12P-07	0.4859286
TCGA-B6-A408-01A-12R-A24H-07	0.0840294
TCGA-AO-A03U-01B-21R-A10J-07	0.2346962
TCGA-OL-A66P-01A-11R-A31O-07	0.1272661
TCGA-BH-A0B3-11B-21R-A089-07	0.1616996
TCGA-E2-A2P6-01A-11R-A19W-07	0.5979122
TCGA-AQ-A04H-01B-11R-A10J-07	0.8469231
TCGA-E2-A14Z-01A-11R-A115-07	0.046019
TCGA-AC-A2FO-01A-11R-A180-07	0.1943745
TCGA-C8-A26W-01A-11R-A16F-07	0.16052
TCGA-A2-A0D0-01A-11R-A00Z-07	0.1419144
TCGA-E2-A573-01A-11R-A29R-07	0.0557299
TCGA-B6-A0RS-01A-11R-A084-07	0.3868231
TCGA-E2-A153-01A-12R-A12D-07	0.1495213
TCGA-E2-A152-01A-11R-A12D-07	0.8888847
TCGA-GM-A2DC-01A-11R-A18M-07	0.4862093
TCGA-BH-A0BD-01A-11R-A034-07	0.0842062
TCGA-A8-A08A-01A-11R-A32Y-07	0.4143766
TCGA-AC-A3QQ-01A-11R-A22K-07	0.8292119
TCGA-AR-A24L-01A-11R-A169-07	0.5747003
TCGA-BH-A0E9-01B-11R-A115-07	0.4920209
TCGA-AC-A3W6-01A-12R-A22K-07	0.0795056
TCGA-BH-A1EU-01A-11R-A137-07	0.0473071
TCGA-A7-A6VV-01A-22R-A33J-07	0.2212098
TCGA-BH-A1EN-11A-23R-A13Q-07	0.2163955
TCGA-AN-A0G0-01A-11R-A034-07	0.5304404
TCGA-E2-A1LH-11A-22R-A14D-07	0.6597358
TCGA-C8-A1HJ-01A-11R-A13Q-07	0.2206405
TCGA-D8-A27K-01A-11R-A16F-07	0.2082728
TCGA-EW-A2FS-01A-11R-A17B-07	0.3221163
TCGA-A2-A0YD-01A-11R-A109-07	0.1228291
TCGA-AC-A2FM-01A-11R-A19W-07	0.7429872
TCGA-C8-A12T-01A-11R-A115-07	0.765955
TCGA-A8-A09T-01A-11R-A00Z-07	0.375411
TCGA-AN-A0FX-01A-11R-A034-07	0.4689789
