	FPKM_log_q_200_f	TPM_log_q_200_f
TCGA-D8-A1XT-01A-11R-A14M-07	0.9513849	0.9133078
TCGA-D8-A1XU-01A-11R-A14M-07	0.8314863	0.8240951
TCGA-D8-A1XV-01A-11R-A14M-07	0.7025591	0.7752752
TCGA-D8-A1XW-01A-11R-A14M-07	0.8714971	0.8610655
TCGA-D8-A1XY-01A-11R-A14M-07	0.8592395	0.8029283
TCGA-D8-A1XZ-01A-11R-A14M-07	0.8388507	0.74324
TCGA-D8-A1Y0-01A-11R-A14M-07	0.7610517	0.6043006
TCGA-D8-A1Y1-01A-21R-A14M-07	0.9057489	0.8969415
TCGA-D8-A1Y2-01A-11R-A157-07	0.7397367	0.5053369
TCGA-D8-A1Y3-01A-11R-A157-07	0.5578145	0.2015013
TCGA-D8-A27E-01A-11R-A16F-07	0.7663199	0.6526967
TCGA-D8-A27F-01A-11R-A16F-07	0.8876379	0.7873944
TCGA-D8-A27G-01A-11R-A16F-07	0.8773946	0.8608845
TCGA-D8-A27H-01A-11R-A16F-07	0.9433232	0.9082458
TCGA-D8-A27I-01A-11R-A16F-07	0.8220344	0.7299999
TCGA-D8-A27K-01A-11R-A16F-07	0.8283405	0.8197153
TCGA-D8-A27L-01A-11R-A16F-07	0.8530931	0.8095986
TCGA-D8-A27M-01A-11R-A16F-07	0.736205	0.6215139
TCGA-D8-A27N-01A-11R-A16F-07	0.866857	0.8115777
TCGA-D8-A27P-01A-11R-A16F-07	0.8774805	0.9116265
TCGA-D8-A27R-01A-11R-A16F-07	0.9260906	0.8818964
TCGA-D8-A27T-01A-11R-A16F-07	0.7740796	0.7751589
TCGA-D8-A27V-01A-12R-A17B-07	0.8329811	0.8640795
TCGA-D8-A27W-01A-11R-A16F-07	0.9090732	0.8606318
TCGA-D8-A3Z5-01A-41R-A24H-07	0.8729354	0.7754304
TCGA-D8-A3Z6-01A-11R-A239-07	0.8941745	0.8845663
TCGA-D8-A4Z1-01A-21R-A266-07	0.8467507	0.767617
TCGA-D8-A73U-01A-11R-A33J-07	0.4244709	0.1910228
TCGA-D8-A73W-01A-22R-A352-07	0.7754312	0.6935637
TCGA-D8-A73X-01A-11R-A32P-07	0.8026069	0.8386092
TCGA-E2-A105-01A-11R-A10J-07	0.9175386	0.8816137
TCGA-E2-A106-01A-11R-A10J-07	0.9218307	0.8996689
TCGA-E2-A107-01A-11R-A10J-07	0.8647203	0.8157152
TCGA-E2-A108-01A-13R-A10J-07	0.6564822	0.3882039
TCGA-E2-A109-01A-11R-A10J-07	0.9178177	0.8872356
TCGA-E2-A10A-01A-21R-A115-07	0.7124257	0.640614
TCGA-E2-A10B-01A-11R-A10J-07	0.7266298	0.5849049
TCGA-E2-A10C-01A-21R-A10J-07	0.7610261	0.7023253
TCGA-E2-A10E-01A-21R-A10J-07	0.8182052	0.7977892
TCGA-E2-A10F-01A-11R-A10J-07	0.84713	0.8236274
TCGA-E2-A14N-01A-31R-A137-07	0.4955793	0.4388
TCGA-E2-A14O-01A-31R-A115-07	0.7719708	0.7251865
TCGA-E2-A14P-01A-31R-A12D-07	0.9169698	0.9337405
TCGA-E2-A14Q-01A-11R-A12D-07	0.8203678	0.8407763
TCGA-E2-A14R-01A-11R-A115-07	0.8135616	0.6827401
TCGA-E2-A14S-01A-11R-A12D-07	0.8098192	0.6563852
TCGA-E2-A14T-01A-11R-A115-07	0.841396	0.7909479
TCGA-E2-A14U-01A-11R-A22K-07	0.8585522	0.8332589
TCGA-E2-A14V-01A-11R-A12D-07	0.9301636	0.9394862
TCGA-E2-A14W-01A-11R-A12D-07	0.8257377	0.7915121
TCGA-E2-A14X-01A-11R-A115-07	0.8217275	0.8243921
TCGA-E2-A14Y-01A-21R-A12D-07	0.7563737	0.6965881
TCGA-E2-A14Z-01A-11R-A115-07	0.5039052	0.3758575
TCGA-E2-A150-01A-11R-A12D-07	0.7270212	0.5818274
TCGA-E2-A152-01A-11R-A12D-07	0.9776317	0.9765535
TCGA-E2-A153-01A-12R-A12D-07	0.9214626	0.897941
TCGA-E2-A154-01A-11R-A115-07	0.9115201	0.8922071
TCGA-E2-A155-01A-11R-A12D-07	0.9165139	0.9014406
TCGA-E2-A156-01A-11R-A12D-07	0.8221489	0.838611
TCGA-E2-A158-01A-11R-A12D-07	0.8645341	0.7898019
TCGA-E2-A159-01A-11R-A115-07	0.6272334	0.4434907
TCGA-E2-A15A-01A-11R-A12D-07	0.9110591	0.8593558
TCGA-E2-A15A-06A-11R-A12D-07	0.8542304	0.7155567
TCGA-E2-A15C-01A-31R-A12D-07	0.8749372	0.8225213
TCGA-E2-A15D-01A-11R-A115-07	0.8859378	0.8693337
TCGA-E2-A15E-01A-11R-A12D-07	0.8818423	0.8949975
TCGA-E2-A15E-06A-11R-A12D-07	0.7992922	0.8388171
TCGA-E2-A15F-01A-11R-A115-07	0.8347094	0.6151487
TCGA-E2-A15G-01A-11R-A12D-07	0.7661491	0.7956055
TCGA-E2-A15H-01A-11R-A12D-07	0.9531911	0.9380164
TCGA-E2-A15I-01A-21R-A137-07	0.7303262	0.7767309
TCGA-E2-A15J-01A-11R-A12P-07	0.9065835	0.9137358
TCGA-E2-A15K-01A-11R-A12P-07	0.7891332	0.7416187
TCGA-E2-A15K-06A-11R-A12P-07	0.837118	0.7336487
TCGA-E2-A15L-01A-11R-A12D-07	0.9259004	0.9244167
TCGA-E2-A15M-01A-11R-A12D-07	0.8046272	0.6838628
TCGA-E2-A15O-01A-11R-A115-07	0.6374989	0.3821479
TCGA-E2-A15P-01A-11R-A115-07	0.819885	0.7821221
TCGA-E2-A15R-01A-11R-A115-07	0.9053546	0.863634
TCGA-E2-A15S-01A-11R-A115-07	0.9436732	0.9174014
TCGA-E2-A15T-01A-11R-A115-07	0.8291692	0.7014212
TCGA-E2-A1AZ-01A-11R-A12P-07	0.6678696	0.4242743
TCGA-E2-A1B0-01A-11R-A12P-07	0.9587142	0.9602411
TCGA-E2-A1B1-01A-21R-A12P-07	0.8013126	0.8476231
TCGA-E2-A1B4-01A-11R-A12P-07	0.8585782	0.8469051
TCGA-E2-A1B5-01A-21R-A12P-07	0.4956948	0.2973216
TCGA-E2-A1B6-01A-31R-A12P-07	0.5039763	0.3763563
TCGA-E2-A1BC-01A-11R-A12P-07	0.7613002	0.7897896
TCGA-E2-A1BD-01A-11R-A12P-07	0.8772598	0.8295206
TCGA-E2-A1IE-01A-11R-A13Q-07	0.9214257	0.8971491
TCGA-E2-A1IF-01A-11R-A144-07	0.8103927	0.7603008
TCGA-E2-A1IG-01A-11R-A144-07	0.8902404	0.8388307
TCGA-E2-A1IH-01A-11R-A13Q-07	0.8183019	0.6261937
TCGA-E2-A1II-01A-11R-A144-07	0.1667969	0.0711192
TCGA-E2-A1IJ-01A-11R-A144-07	0.808368	0.7167237
TCGA-E2-A1IK-01A-11R-A144-07	0.7127063	0.5538102
TCGA-E2-A1IL-01A-11R-A14D-07	0.7361879	0.6689223
TCGA-E2-A1IN-01A-11R-A13Q-07	0.9196617	0.8703655
TCGA-E2-A1IO-01A-11R-A144-07	0.9101512	0.9154548
TCGA-E2-A1IU-01A-11R-A14D-07	0.8613189	0.8410921
TCGA-E2-A1L6-01A-11R-A13Q-07	0.8696331	0.8916649
TCGA-E2-A1L7-01A-11R-A144-07	0.7509351	0.5557627
TCGA-E2-A1L8-01A-11R-A13Q-07	0.8106526	0.8083018
TCGA-E2-A1L9-01A-11R-A13Q-07	0.9057369	0.8785459
TCGA-E2-A1LA-01A-11R-A144-07	0.7779032	0.5220311
TCGA-E2-A1LB-01A-11R-A144-07	0.9520359	0.9582038
TCGA-E2-A1LE-01A-12R-A19W-07	0.9523619	0.9611951
TCGA-E2-A1LG-01A-21R-A14M-07	0.602577	0.6662616
TCGA-E2-A1LH-01A-11R-A14D-07	0.792918	0.5699628
TCGA-E2-A1LI-01A-12R-A157-07	0.7291117	0.4641102
TCGA-E2-A1LK-01A-21R-A14D-07	0.8835823	0.8275254
TCGA-E2-A1LL-01A-11R-A144-07	0.7114752	0.7519233
TCGA-E2-A1LS-01A-12R-A157-07	0.6392735	0.6863381
TCGA-E2-A2P5-01A-11R-A19W-07	0.8487198	0.8128995
TCGA-E2-A2P6-01A-11R-A19W-07	0.7125654	0.6499685
TCGA-E2-A3DX-01A-21R-A213-07	0.9143284	0.8836141
TCGA-E2-A56Z-01A-12R-A29R-07	0.7235589	0.5771158
TCGA-E2-A570-01A-11R-A29R-07	0.8838559	0.8358279
TCGA-E2-A572-01A-13R-A31O-07	0.7913007	0.6252228
TCGA-E2-A573-01A-11R-A29R-07	0.3752331	0.1548773
TCGA-E2-A574-01A-11R-A29R-07	0.9006922	0.8967447
TCGA-E2-A576-01A-11R-A31O-07	0.7670085	0.6401016
TCGA-E9-A1N3-01A-12R-A157-07	0.7175144	0.6483361
TCGA-E9-A1N4-01A-11R-A14M-07	0.6632441	0.543123
TCGA-E9-A1N5-01A-11R-A14D-07	0.77549	0.7559903
TCGA-E9-A1N6-01A-11R-A144-07	0.8565624	0.8210769
TCGA-E9-A1N8-01A-11R-A144-07	0.5046742	0.4116272
TCGA-E9-A1N9-01A-11R-A14D-07	0.7633867	0.7263451
TCGA-E9-A1NA-01A-11R-A144-07	0.8754057	0.8317118
TCGA-E9-A1NC-01A-21R-A26B-07	0.874786	0.815317
TCGA-E9-A1ND-01A-11R-A144-07	0.2672751	0.1128419
TCGA-E9-A1NE-01A-21R-A14M-07	0.7112573	0.5228373
TCGA-E9-A1NF-01A-11R-A14D-07	0.8916677	0.8068747
TCGA-E9-A1NG-01A-21R-A14M-07	0.909763	0.8578142
TCGA-E9-A1NH-01A-11R-A14D-07	0.8923462	0.902948
TCGA-E9-A1NI-01A-11R-A14D-07	0.8575633	0.7562133
TCGA-E9-A1QZ-01A-21R-A169-07	0.6773009	0.4697234
TCGA-E9-A1R0-01A-22R-A16F-07	0.8265446	0.8121057
TCGA-E9-A1R2-01A-11R-A14D-07	0.8716129	0.8125003
TCGA-E9-A1R3-01A-31R-A14M-07	0.8698901	0.8187859
TCGA-E9-A1R4-01A-21R-A14D-07	0.6729353	0.4383194
TCGA-E9-A1R5-01A-11R-A14M-07	0.8140599	0.7641794
TCGA-E9-A1R6-01A-11R-A14D-07	0.9072705	0.8828805
TCGA-E9-A1R7-01A-11R-A14M-07	0.7734546	0.6767151
TCGA-E9-A1RA-01A-11R-A14D-07	0.8787778	0.8609332
TCGA-E9-A1RB-01A-11R-A157-07	0.4983054	0.303975
TCGA-E9-A1RC-01A-11R-A157-07	0.8477265	0.8117006
TCGA-E9-A1RD-01A-11R-A157-07	0.5649733	0.5303671
TCGA-E9-A1RE-01A-11R-A157-07	0.739751	0.6334445
TCGA-E9-A1RF-01A-11R-A157-07	0.8755333	0.8324434
TCGA-E9-A1RG-01A-11R-A14D-07	0.9123411	0.8645389
TCGA-E9-A1RH-01A-21R-A169-07	0.8106885	0.7391474
TCGA-E9-A1RI-01A-11R-A169-07	0.8858988	0.8897819
TCGA-E9-A226-01A-21R-A157-07	0.8768404	0.8228609
TCGA-E9-A227-01A-11R-A157-07	0.8232954	0.8014249
TCGA-E9-A228-01A-31R-A157-07	0.9253528	0.9317257
TCGA-E9-A229-01A-31R-A157-07	0.6820896	0.6288061
TCGA-E9-A22A-01A-11R-A157-07	0.8414708	0.6736123
TCGA-E9-A22B-01A-11R-A157-07	0.8741464	0.7764031
TCGA-E9-A22D-01A-11R-A157-07	0.7633727	0.6054854
TCGA-E9-A22E-01A-11R-A157-07	0.7603582	0.5107492
TCGA-E9-A22G-01A-11R-A157-07	0.5060755	0.4784938
TCGA-E9-A22H-01A-11R-A157-07	0.5672936	0.5594257
TCGA-E9-A243-01A-21R-A169-07	0.1088332	0.0682984
TCGA-E9-A244-01A-11R-A169-07	0.8733634	0.8386751
TCGA-E9-A245-01A-22R-A16F-07	0.847027	0.8816075
TCGA-E9-A247-01A-11R-A169-07	0.7395715	0.7340403
TCGA-E9-A248-01A-11R-A169-07	0.7641457	0.7336408
TCGA-E9-A249-01A-11R-A169-07	0.7842678	0.797314
TCGA-E9-A24A-01A-11R-A169-07	0.7805153	0.7570121
TCGA-E9-A295-01A-11R-A16F-07	0.7813869	0.7337361
TCGA-E9-A2JS-01A-11R-A180-07	0.8648829	0.7322568
TCGA-E9-A2JT-01A-22R-A18M-07	0.294661	0.1322797
TCGA-E9-A3HO-01A-11R-A213-07	0.7071923	0.5603508
TCGA-E9-A3Q9-01A-11R-A21T-07	0.6587246	0.5183427
TCGA-E9-A3QA-01A-61R-A22K-07	0.4265418	0.1700647
TCGA-E9-A3X8-01A-31R-A22U-07	0.7799009	0.6045337
TCGA-E9-A54X-01A-11R-A266-07	0.9162952	0.8998155
TCGA-E9-A5FK-01A-11R-A27Q-07	0.6644584	0.362417
TCGA-E9-A5FL-01A-11R-A27Q-07	0.7453311	0.5229509
TCGA-E9-A5UO-01A-11R-A28M-07	0.8860717	0.8374557
TCGA-E9-A5UP-01A-11R-A28M-07	0.8791078	0.6468309
TCGA-E9-A6HE-01A-11R-A31O-07	0.8224443	0.7747605
TCGA-EW-A1IW-01A-11R-A13Q-07	0.9277109	0.9091984
TCGA-EW-A1IX-01A-12R-A144-07	0.8678241	0.8194681
TCGA-EW-A1IY-01A-11R-A13Q-07	0.8280012	0.8183144
TCGA-EW-A1IZ-01A-11R-A13Q-07	0.7939318	0.6177597
TCGA-EW-A1J1-01A-11R-A13Q-07	0.8146181	0.8427721
TCGA-EW-A1J2-01A-21R-A13Q-07	0.7994699	0.7722968
TCGA-EW-A1J3-01A-11R-A13Q-07	0.914573	0.9210948
TCGA-EW-A1J5-01A-11R-A13Q-07	0.6310883	0.5208435
TCGA-EW-A1J6-01A-11R-A13Q-07	0.435323	0.2307565
TCGA-EW-A1OV-01A-11R-A144-07	0.7320722	0.6549762
TCGA-EW-A1OW-01A-21R-A144-07	0.8535294	0.7867154
TCGA-EW-A1OX-01A-11R-A144-07	0.9072236	0.905698
TCGA-EW-A1OY-01A-11R-A144-07	0.7417209	0.5774576
TCGA-EW-A1OZ-01A-11R-A144-07	0.9462774	0.9470832
TCGA-EW-A1P0-01A-11R-A144-07	0.5880361	0.3889475
TCGA-EW-A1P1-01A-31R-A14D-07	0.9176851	0.8823336
TCGA-EW-A1P3-01A-11R-A144-07	0.8877672	0.8427571
TCGA-EW-A1P4-01A-21R-A144-07	0.879127	0.8139078
TCGA-EW-A1P5-01A-11R-A144-07	0.6862184	0.5035436
TCGA-EW-A1P6-01A-11R-A144-07	0.8453981	0.7880249
TCGA-EW-A1P7-01A-21R-A144-07	0.7968887	0.6976668
TCGA-EW-A1P8-01A-11R-A144-07	0.7973399	0.5215675
TCGA-EW-A1PA-01A-11R-A144-07	0.8284221	0.6713294
TCGA-EW-A1PB-01A-11R-A144-07	0.1452484	0.0439367
TCGA-EW-A1PC-01B-11R-A21T-07	0.7642839	0.5932475
TCGA-EW-A1PD-01A-11R-A144-07	0.943829	0.9297678
TCGA-EW-A1PE-01A-11R-A144-07	0.6155911	0.4502241
TCGA-EW-A1PF-01A-11R-A144-07	0.9171866	0.8935071
TCGA-EW-A1PG-01A-11R-A144-07	0.9279961	0.9130863
TCGA-EW-A1PH-01A-11R-A14M-07	0.6350518	0.579454
TCGA-EW-A2FR-01A-11R-A21T-07	0.9825327	0.9769311
TCGA-EW-A2FS-01A-11R-A17B-07	0.7646857	0.6126563
TCGA-EW-A2FV-01A-11R-A17B-07	0.8467092	0.7556814
TCGA-EW-A2FW-01A-11R-A17B-07	0.8927557	0.865978
TCGA-EW-A3E8-01B-11R-A24H-07	0.8270763	0.7944511
TCGA-EW-A3U0-01A-11R-A22K-07	0.5456864	0.3344374
TCGA-EW-A423-01A-11R-A24H-07	0.6976535	0.6035358
TCGA-EW-A424-01A-11R-A24H-07	0.8416626	0.8147509
TCGA-EW-A6S9-01A-22R-A33J-07	0.9703264	0.9727851
TCGA-EW-A6SA-01A-21R-A32P-07	0.8923305	0.8995799
TCGA-EW-A6SB-01A-12R-A32P-07	0.2295006	0.1235038
TCGA-EW-A6SC-01A-12R-A32P-07	0.8458044	0.7378242
TCGA-EW-A6SD-01A-12R-A33J-07	0.9014415	0.8881537
TCGA-GI-A2C8-01A-11R-A16F-07	0.7222923	0.3897472
TCGA-GI-A2C9-01A-11R-A21T-07	0.9045024	0.8761656
TCGA-GM-A2D9-01A-11R-A18M-07	0.7874307	0.7859043
TCGA-GM-A2DA-01A-11R-A18M-07	0.8306201	0.7678161
TCGA-GM-A2DB-01A-31R-A18M-07	0.8552747	0.8104207
TCGA-GM-A2DC-01A-11R-A18M-07	0.8411725	0.7655594
TCGA-GM-A2DD-01A-11R-A180-07	0.7791965	0.6721604
TCGA-GM-A2DF-01A-11R-A180-07	0.8300191	0.6772616
TCGA-GM-A2DH-01A-11R-A180-07	0.6374876	0.5841523
TCGA-GM-A2DI-01A-31R-A18M-07	0.8845446	0.8626868
TCGA-GM-A2DK-01A-21R-A180-07	0.8806509	0.7915897
TCGA-GM-A2DL-01A-11R-A18M-07	0.8780518	0.8268176
TCGA-GM-A2DM-01A-11R-A180-07	0.823902	0.7598363
TCGA-GM-A2DN-01A-11R-A180-07	0.7481407	0.6275714
TCGA-GM-A2DO-01A-11R-A18M-07	0.6754765	0.488367
TCGA-GM-A3NW-01A-21R-A22K-07	0.8603057	0.7480019
TCGA-GM-A3NY-01A-11R-A21T-07	0.5602547	0.4466335
TCGA-GM-A3XG-01A-31R-A24H-07	0.894272	0.8639872
TCGA-GM-A3XL-01A-11R-A22U-07	0.1671032	0.0945186
TCGA-GM-A3XN-01A-12R-A22U-07	0.7631936	0.7279056
TCGA-GM-A4E0-01A-12R-A266-07	0.354357	0.2701808
TCGA-GM-A5PV-01A-11R-A28M-07	0.792603	0.7284458
TCGA-GM-A5PX-01A-12R-A28M-07	0.8342641	0.7991086
TCGA-HN-A2NL-01A-11R-A18M-07	0.1668496	0.1223872
TCGA-HN-A2OB-01A-21R-A27Q-07	0.9115911	0.9164606
TCGA-JL-A3YW-01A-12R-A239-07	0.3222853	0.2416544
TCGA-JL-A3YX-01A-11R-A22U-07	0.8641831	0.8363342
TCGA-LD-A66U-01A-11R-A31O-07	0.8471004	0.8152224
TCGA-LD-A74U-01A-13R-A33J-07	0.8032786	0.7399365
TCGA-LD-A7W5-01A-22R-A352-07	0.835009	0.717404
TCGA-LD-A7W6-01A-81R-A352-07	0.7239286	0.5872076
TCGA-LL-A440-01A-11R-A24H-07	0.7360223	0.4529466
TCGA-LL-A441-01A-11R-A24H-07	0.26952	0.1559314
TCGA-LL-A442-01A-11R-A24H-07	0.8575663	0.8274781
TCGA-LL-A50Y-01A-11R-A266-07	0.8095699	0.6925126
TCGA-LL-A5YL-01A-12R-A29R-07	0.8319046	0.7677546
TCGA-LL-A5YM-01A-11R-A28M-07	0.7279585	0.7110752
TCGA-LL-A5YN-01A-11R-A28M-07	0.5603207	0.4370281
TCGA-LL-A5YO-01A-21R-A28M-07	0.7620425	0.6003955
TCGA-LL-A5YP-01A-21R-A28M-07	0.8651664	0.7607718
TCGA-LL-A6FP-01A-11R-A31O-07	0.7622241	0.6702123
TCGA-LL-A6FQ-01A-11R-A31O-07	0.8822282	0.8382591
TCGA-LL-A6FR-01A-12R-A31O-07	0.9043081	0.8551315
TCGA-LL-A73Y-01A-11R-A33J-07	0.8983642	0.8496161
TCGA-LL-A73Z-01A-11R-A32P-07	0.7690079	0.6159342
TCGA-LL-A740-01A-21R-A32P-07	0.9547565	0.9324819
TCGA-LL-A7SZ-01A-32R-A352-07	0.7384214	0.5016225
TCGA-LL-A7T0-01A-31R-A352-07	0.8421557	0.7405994
TCGA-LL-A8F5-01A-11R-A36F-07	0.7086325	0.6670952
TCGA-LQ-A4E4-01A-11R-A266-07	0.7716756	0.7263892
TCGA-MS-A51U-01A-31R-A266-07	0.8979114	0.8799919
TCGA-OK-A5Q2-01A-11R-A27Q-07	0.8537985	0.8222783
TCGA-OL-A5D6-01A-21R-A27Q-07	0.9317596	0.9264905
TCGA-OL-A5D7-01A-11R-A27Q-07	0.2756649	0.1330699
TCGA-OL-A5D8-01A-11R-A27Q-07	0.88239	0.8228929
TCGA-OL-A5DA-01A-11R-A27Q-07	0.8114952	0.7715382
TCGA-OL-A5RU-01A-11R-A28M-07	0.8599036	0.8175013
TCGA-OL-A5RV-01A-12R-A28M-07	0.9215494	0.9270986
TCGA-OL-A5RW-01A-11R-A28M-07	0.5145547	0.1747889
TCGA-OL-A5RX-01A-11R-A28M-07	0.9369416	0.8981704
TCGA-OL-A5RY-01A-21R-A28M-07	0.9487224	0.9515906
TCGA-OL-A5RZ-01A-11R-A28M-07	0.9417562	0.9545679
TCGA-OL-A5S0-01A-11R-A28M-07	0.8011653	0.6229114
TCGA-OL-A66H-01A-11R-A29R-07	0.6943706	0.5945476
TCGA-OL-A66I-01A-21R-A29R-07	0.4209227	0.4492515
TCGA-OL-A66J-01A-11R-A29R-07	0.9424396	0.9159014
TCGA-OL-A66K-01A-11R-A29R-07	0.9313113	0.9060846
TCGA-OL-A66L-01A-12R-A31O-07	0.800073	0.6883982
TCGA-OL-A66N-01A-12R-A31O-07	0.9221096	0.8854412
TCGA-OL-A66O-01A-11R-A31O-07	0.7394428	0.6663367
TCGA-OL-A66P-01A-11R-A31O-07	0.7410903	0.5776516
TCGA-OL-A6VO-01A-12R-A33J-07	0.5585602	0.3826014
TCGA-OL-A6VR-01A-32R-A33J-07	0.9199834	0.9222405
TCGA-PE-A5DC-01A-12R-A27Q-07	0.8515019	0.8160746
TCGA-PE-A5DD-01A-12R-A27Q-07	0.7641969	0.7359137
TCGA-PE-A5DE-01A-11R-A27Q-07	0.7270613	0.5815901
TCGA-PL-A8LZ-01A-31R-A36F-07	0.1940989	0.0651695
TCGA-S3-A6ZF-01A-32R-A32P-07	0.7828691	0.7059505
TCGA-S3-A6ZG-01A-22R-A32P-07	0.7364054	0.8121433
TCGA-S3-A6ZH-01A-22R-A32P-07	0.8804142	0.8829724
TCGA-V7-A7HQ-01A-11R-A33J-07	0.8733786	0.8417701
TCGA-W8-A86G-01A-21R-A36F-07	0.7848209	0.6971971
TCGA-XX-A899-01A-11R-A36F-07	0.8355926	0.8204663
TCGA-XX-A89A-01A-11R-A36F-07	0.2385646	0.156869
